"address","lat","lng"
"מרכז נפתי 7, אשקלון","31.6511901","34.5863891"
"דגניה 5, חיפה","32.8277896","35.0609999"
"כיכר נימן 1, בית שמש","31.748863","34.986088"
"בוגרשוב 49, תל אביב יפו","32.0759374","34.7716823"
"השלום 88, מודיעין","32.0377895","34.8950866"
"יגאל אלון 1, בית שמש","31.7562899","34.9899373"
"האומ 1, יבנה","31.8665906","34.7420546"
"גדוד הפורצים 1, אשקלון","31.6530705","34.5554106"
"האומן 17, יבנה","31.866556","34.7427027"
"אבן גבירול 107, ת""א","32.0866367","34.7819518"
"הר החרמון 5, קרית גת","32.0640117","34.8467152"
"מסדה 50, חיפה","32.8108513","34.9912189"
"תל חי 19, אשדוד","31.7701088","34.6255651"
"המשתלה מבקיעים","31.622518","34.577431"
"כביש 60, גן נר","32.528706","35.336254"
"שדרות הנשיא 132, חיפה","32.8032359","34.9864339"
"כביש 3711 אמונים","31.743885","34.674492"
"ניר בנים, 79525","31.9054468","34.8726617"
"הנביאים 45, מודיעין","31.9134562","35.0043327"
"ההיסתדרות 3, אשקלון","31.6630103","34.562369"
"שוהם 2, אשדוד","31.7662163","34.6315425"
"האלה 95, תלמי יפה","31.61863499999999","34.614935"
"דוד בן גוריון 42, באר שבע","31.2557172","34.8130272"
"דרך יצחק רבין 7, בית שמש","31.7477947","34.9945479"
"רבי יהודה צדקה 3, בית שמש","31.747041","34.988099"
"גיורא יוספטל 2, אשקלון","31.6553074","34.5627657"
"פללורנטין 46, ת""א","32.0561438","34.771794"
"משה אבן עזרא 23, אשדוד","31.7966432","34.648756"
"חלוצי התעשייה 92, חיפה","32.8179674","35.0563455"
"העבודה 280, אשקלון","31.66677099999999","34.590153"
"הרצל 34, אשקלון","31.6643603","34.5867135"
"חטיבת הראל 7 כניסה א, בית שמש","31.747041","34.988099"
"דרך חברון פינת יצחק נפחא, באר שבע","31.2451883","34.8117289"
"החרש 25, בית שמש","31.7553596","34.9917894"
"כביש מס 4, מחלף יבנה","31.877958","34.739449"
"דרך כפר חסידים 1, קרית אתא","32.7453896","35.0770802"
"דרך שלמה 151, תל אביב יפו","32.0543134","34.7782943"
"דרך יבנה, שער יבנה","31.877958","34.739449"
"השופטים 7, קרית ים","32.8498044","35.0737015"
"זריצקי 4, תל אביב יפו","32.1146201","34.7910488"
"דרך הטייסים, תל אביב יפו","32.0548152","34.8103693"
"שיבת ציון 30, אשקלון ","31.6574728","34.5804513"
"חטיבת הראל 3, בית שמש","31.747041","34.988099"
"צרפירים 2, חיפה","32.7970872","34.9836283"
"שלום עליכם 10, חיפה","32.7823699","35.0155528"
"נחל מיכה 17, בית שמש","31.7178611","34.9935474"
"הגבורה 28, קרית גת","31.6072741","34.7572855"
"השישה עשר 3, ירושלים","31.8276335","35.2411233"
"הדקל 47, קרית ביאליק","32.8430604","35.0659604"
"הבדיל 30, באר שבע","31.2244349","34.8094727"
"דוד וולפסון 1, אשדוד","31.768823","34.6328733"
"דגניה 48, קרית חיים","32.8319037","35.0549512"
"החיטה 166, אשקלון","31.671225","34.565562"
"האורגים 26 , אשדוד","31.8140753","34.6560617"
"שבזי 7, יבנה","31.8716956","34.7449641"
"יונתן נתניהו 1, קריית מלאכי","31.7352333","34.7472722"
"האומן 17, ת""א","32.0852999","34.78176759999999"
"שדרות מנחם בגין 40, גדרה","31.8037221","34.78416780000001"
"דרך הים 34, יבנה","31.8904146","34.7841944"
"בצה""ל 29, אשקלון ","31.6649826","34.5894522"
"דרך חברון 131, באר שבע","31.2459351","34.8128509"
"שלום עליכם 4, חיפה","32.7827092","35.0150027"
"יהודה הלוי 95, תל אביב","32.0654643","34.7781939"
"דרך השלום 16, נשר","32.7712399","35.0454689"
"יפה נוף 1, אשקלון","31.6837072","34.561579"
"אבא חושי 111, חיפה","32.7683592","35.0081916"
"דרות הר ציון 45, תל אביב יפו","32.0551457","34.7756429"
"מסדה 9, חיפה","32.809161","34.9941655"
"אליזבט ברגנר 10 ת""א","32.0575441","34.7584487"
"החשמונאים 15, באר שבע","31.265779","34.76388"
"אלטרמן 2, ראשון לציון","31.9748302","34.76889550000001"
"שדרות משה דיין, ירושלים","31.8230999","35.2373471"
"כביש 79, אפק","32.8436196","35.1641271"
"סנהדרין 125, באר שבע","31.2682567","34.7859176"
"ז'בוטיסקי זאב 1, קריית מוצקין","33.2180565","35.5745429"
"יונתן נתיהו 1, קריית מלאכי","31.7352333","34.7472722"
"עזרא ציון, 1010 נהורה","31.621321","34.704496"
"בחנה רובינא 22, באר שבע","31.2701481","34.7697395"
"שדרות צורן 13, קריית גת","31.59508929999999","34.7819863"
"חלוצי התעשייה 7 , קריית מלאכי","31.7329885","34.7540272"
"מוריה 120, חיפה","32.7887595","34.9866028"
"משה דיין 22, חיפה","32.8049305","35.0505075"
"צומת גבעת זאב, מזרחי גבעת זאב","31.861189","35.167252"
"שדרות ההתסדרות 271, חיפה","32.8124327","35.0715811"
"כביש שער הגיא, בית שמש","31.747041","34.988099"
"אקסודוס 6, אשקלון","31.6758659","34.5862918"
"אבן עזרא 64, אשקלון ","31.6700318","34.5905479"
"דיין משה 20, חולון","32.0007027","34.7668589"
"טן, כביש עכו, קרית ביאליק","32.847322","35.092016"
"פרישמן 61, תל אביב יפו","32.0796489","34.7769063"
"שדרות בן גוריון 6, קריית מלאכי","31.7284355","34.7476423"
"שד' העצמאות 49, קריית גת","31.6093229","34.769997"
"לחי 2, קריית ים","32.8536062","35.070842"
"דרך אלנבי 39, חייפה","32.8188658","34.9930605"
"כביש 41 קבוצת יבנה","31.81398699999999","34.719103"
"שדרות ורבורג 23, חיפה","32.8316628","35.0637229"
"מרכז מסחרי 60, בית שמש","31.747041","34.988099"
"ריבלין יוסף 3, ירושלים","31.7810264","35.2206126"
"שדרות מנחם בגין 1, קריית מלאכי","31.7306473","34.7533465"
"נחל דולב 19, בית שמש","31.7135923","34.9979437"
"פארן 7, ירושלים","31.8012846","35.2281633"
"יוספטל גיורא 26, קריית ים","32.8521368","35.0667788"
"הברזל 1, תל אביב יפו","32.1065878","34.8340582"
"הרצל 4ף בית שמש","31.749188","34.991082"
"העצמאות 6, אשקלון","31.6762236","34.5711531"
"היצירה 20, רמת גן","32.0868243","34.8021916"
"הרצל 76, קריית מלאכי","31.7357003","34.7382981"
"החוצבים 42, מבשרת ציון","31.79336279999999","35.1450936"
"מאיר גרשון 30, ירושלים","31.8195654","35.2477661"
"יעלים 86, באר שבע","31.2549295","34.77629599999999"
"זלמן ארן 13, אשדוד","31.801936","34.6455234"
"צה""ל 8, אשקלון","31.6652412","34.5881539"
"דרך יצחק רבין 2, בית שמש","31.7478127","34.9944597"
"דוד המלך 20, אשדוד","31.7753976","34.6419052"
"גוש עציון 2, אשקלון","31.6780114","34.5736257"
"אבן גבירול 136, תל אביב יפו","32.0882563","34.7824655"
"יציאת אירפה 24, חיפה","32.8226758","34.9594181"
"דקך חיפה 43, קרית אתא","32.8068494","35.0736878"
"לואי פקרד 2, באר שבע","31.252973","34.791462"
"דרך הדרום 2, קריית גת","31.6022223","34.7714498"
"גורדון 2, קריית מוצקין ","32.8339608","35.0805015"
"שדרות הדקל 13, בית שמש","31.7403615","34.9823864"
"שדרות ירושלים 1, קרית מוצקין","32.8352351","35.0652399"
"הרקפת 16, בית שמש","31.7376767","34.9803796"
"השישה עשר 15, ירשלים","31.8277976","35.2422641"
"חשון 7 בית שמש","31.7138505","34.9926825"
"המלך שלמה 3, באר שבע","31.2615262","34.796885"
"שדרות דגניה 5, קריית חיים","32.8277896","35.0609999"
"בית חנינא 0, ירושלים","31.8254844","35.227047"
"שדרות ההסתדרות 211, חיפה","32.8074153","35.060944"
"הנורית 2, בית שמש","31.7390245","34.9815382"
"שמחה הולצברג 7, תל אביב יפו","32.03208","34.7450826"
"הדולב 1, שתולים","31.7760104","34.6829763"
"יגאל אלון 28, בית שמש","31.754224","34.9938217"
"קיבוץ גוליות 1, אשדוד","31.8064274","34.6526387"
"יפת 13, ת""א","32.0534535","34.7543234"
"זבולון 164, קרית אתא","32.8028081","35.0822077"
