task number,coustumerName,address,telephone,creationTime,FRZ,כמות,level,toolshed,vipCustomer,due date,due date Time,WindowToSupply(h),timeToFix(m),decripation
19,תבליני עזורה נווה יעקב,"נווה יעקוב 38,, ירושלים",052-7460008,07/03/2016,65,65,1,yes,no,27/05/2016,08:30,4,15,
20,רמי לוי מישור אדומים,"איתם 1, מעלה אדומים",055-6602518,21/03/2016,250,120,0.48,yes,no,27/05/2016,06:00,4,15,[החלפת מנורה]
21,"פיצוציית טופז ב""ש","לואי פקרד 2, באר שבע",08-6487576,02/03/2016,65,50,0.77,yes,no,27/05/2016,08:00,4,15,
22,"סופר זול ב""ש","שאול המלך 14, באר שבע",08-6419628,02/03/2016,65,35,0.54,yes,no,27/05/2016,06:00,4,15,
23,סונול מכתשים,"דרך חברון פינת יצחק נפחא, באר שבע",054-6733783,16/03/2016,90,60,0.67,yes,no,27/05/2016,06:00,4,15,
24,סונול בן גוריון,"דרך חברון 131, באר שבע",054-6733524 ,11/10/2015,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
25,"בנא משקאות ביג ב""ש","דרך חברון 21, באר שבע",08-9107310,16/03/2016,160,70,0.44,yes,no,27/05/2016,09:30,4,15,
26,דלק מפגש הספורט,"דוד בן גוריון 42, באר שבע",08-6272685,17/02/2016,90,70,0.78,yes,no,27/05/2016,06:00,4,15,
27,"חלום מתוק ב""ש","המלך שלמה 3, באר שבע",08-6497676,02/03/2016,40,30,0.75,yes,no,27/05/2016,08:00,4,15,
28,"סופר יעלים ב""ש","יעלים 86, באר שבע",08-6102533,09/03/2016,60,40,0.67,yes,no,27/05/2016,07:00,4,15,
29,סונול מצדה,"דרך המצדה 266, באר שבע",054-6733674,01/10/2015,240,160,0.67,yes,no,27/05/2016,06:00,4,15,
30,"ליאל ב""ש","הבדיל 30, באר שבע",050-7301807,,65,50,0.77,yes,no,27/05/2016,06:00,4,15,
31,"מינימרקט שלומי את בן ב""ש","בחנה רובינא 22, באר שבע",052-6581118,09/03/2016,65,40,0.62,yes,no,27/05/2016,08:00,4,15,
32,"המתוקים של נועה ב""ש","החשמונאים 15, באר שבע",052-3031730,23/03/2016,65,65,1,yes,no,27/05/2016,07:30,4,15,
33,"המתוקים של שלומי ב""ש","סנהדרין 125, באר שבע",054-3222262,09/03/2016,65,35,0.54,yes,no,27/05/2016,08:30,4,15,
34,"סופרמרקט האחים ב""ש","טבנקין 76, באר שבע",052-7444549,09/03/2016,90,50,0.56,yes,no,27/05/2016,06:30,4,15,
35,"מלך הפיצוחים ב""ש","מקס נורדאו 18, מתחם תנובה",052-7202119,02/03/2016,128,100,0.78,yes,no,27/05/2016,07:00,4,15,
36,פז ברורים (אמיר),"מסמיה 0, קריית מלאכי",052-7777100,16/03/2016,240,180,0.75,yes,no,27/05/2016,06:00,4,15,
37,קפה טי ק. מלאכי,"יונתן נתניהו 5, קריית מלאכי",08-8584054,09/03/2016,65,40,0.62,yes,no,27/05/2016,09:00,4,15,
38,חטיף 301 ק. מלאכי,"יונתן נתניהו 1, קריית מלאכי",052-2917901,09/03/2016,160,80,0.5,yes,no,27/05/2016,09:00,4,15,
39,קפה אופל ק. מלאכי,"שדרות בן גוריון 6, קריית מלאכי",08-6347281,09/03/2016,65,45,0.69,yes,no,27/05/2016,06:00,4,15,
40,איתן משקאות ק. מלאכי,"חלוצי התעשייה 7 , קריית מלאכי",02-5791875,23/03/2016,240,120,0.5,yes,no,27/05/2016,09:00,4,15,
41,מכולת הכיכר ק. מלאכי,"יונתן נתיהו 1, קריית מלאכי",050-5219535,23/03/2016,65,50,0.77,yes,no,27/05/2016,06:30,4,15,
42,פז קרית מלאכי (יניב),"שדרות מנחם בגין 1, קריית מלאכי",02-5330333,10/02/2016,240,220,0.92,yes,no,27/05/2016,06:00,4,15,
43,קפה מעיין ק. מלאכי,"ז'בוטינסקי 22, קריית מלאכי",052-2679500,16/03/2016,160,80,0.5,yes,no,27/05/2016,08:00,4,15,
44,גל באר טוביה,"הרצל 76, קריית מלאכי",052-5193339,09/03/2016,240,100,0.42,yes,no,27/05/2016,06:00,4,15,
45,שופרסל דיל באר טוביה,"אזור תעשייה 9977, באר טוביה",050-5900117,02/03/2016,90,90,1,yes,no,27/05/2016,08:00,4,15,
46,סונול קסטינה,"צומת קרית מלאכי, קסטינה",050-9229940,24/02/2016,240,180,0.75,yes,no,27/05/2016,06:00,4,15,
47,דלק גן נר,"כביש 60, גן נר",054-9733861,06/03/2016,280,150,0.54,yes,no,27/05/2016,06:00,4,15,
48,דור העצמאות,"דרך העצמאות 158, חיפה",02-6564456,13/01/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
49,פיצוציית סטארמרקט חיפה,"דרך יד לבנים 29, חיפה",050-7744751,23/03/2016,90,50,0.56,yes,no,27/05/2016,08:00,4,15,
50,דלק רם,"דרך ישראל בר יהודה, חיפה",02-6568848,30/12/2015,65,65,1,yes,no,27/05/2016,06:00,4,15,
51,קיוסק על הדרך חיפה,"דרך צרפת 63,חיפה", 054-5408066,18/02/2016,160,80,0.5,yes,no,27/05/2016,07:30,4,15,
52,מינימקסי חיפה,"יציאת אירפה 24, חיפה",02-5702914,02/03/2016,65,50,0.77,yes,no,27/05/2016,07:00,4,15,
53,מכולת מריו חיפה,"החלוץ 59, חיפה",02-5734278,09/03/2016,65,40,0.62,yes,no,27/05/2016,08:00,4,15,
54,בית קליה אלנבי,"דרך אלנבי 39, חייפה",02-5734394,23/03/2016,640,350,0.55,yes,no,27/05/2016,06:00,4,15,
55,בית קליה חורסאני חיפה,"הרצליה 32, חיפה",054-7726204,05/01/2016,65,50,0.77,yes,no,27/05/2016,09:00,4,15,
56,מרכול 24 מסדה חיפה,"מסדה 9, חיפה",02-5836146,18/02/2016,40,40,1,yes,no,27/05/2016,06:00,4,15,
57,מכולת השכונה חיפה,"מסדה 50, חיפה",052-7460008,09/03/2016,65,40,0.62,yes,no,27/05/2016,08:00,4,15,
58,פיצוחי איוב,"לוי שבתאי 12, חיפה",055-6602518,16/03/2016,160,50,0.31,yes,no,27/05/2016,06:00,4,15,
59,מאי מרקט חיפה,"בח'ורי 2, חיפה",08-6487576,23/03/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
60,דרגסטור כרמל צפרירים חיפה,"צרפירים 2, חיפה",08-6419628,16/03/2016,160,70,0.44,yes,no,27/05/2016,06:00,4,15,
61,מתוק וחצי חיפה,"פלימן 14, חיפה",054-6733783,09/03/2016,65,40,0.62,yes,no,27/05/2016,08:00,4,15,
62,פז הר כרמל (סארה),"שדרות הנשיא 132, חיפה",054-6733524 ,09/03/2016,240,170,0.71,yes,no,27/05/2016,06:00,4,15,
63,פוקסי,"מוריה 120, חיפה",08-9107310,10/02/2016,65,60,0.92,yes,no,27/05/2016,06:00,4,15,
64,סיזר מינימרקט חיפה,"שלום עליכם 10, חיפה",08-6272685,18/02/2016,65,60,0.92,yes,no,27/05/2016,07:00,4,15,
65,רודיס מרקט חיפה,"שלום עליכם 4, חיפה",08-6497676,16/03/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
66,סונול נווה שאנן,"אלוף דורי 20, חיפה",08-6102533,18/02/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
67,דלק תל חנן (2016),"דרך בר יהודה 138, נשר",054-6733674,09/03/2016,240,150,0.63,yes,no,27/05/2016,06:00,4,15,
68,אופיר סטור נשר,"דרך השלום 16, נשר",050-7301807,09/03/2016,180,100,0.56,yes,no,27/05/2016,07:00,4,15,
69,דלק הקישון,"שדרות ההסתדרות 88, חיפה",052-6581118,09/03/2016,65,45,0.69,yes,no,27/05/2016,06:00,4,15,
70,סונול קורן,"אבא חושי 111, חיפה",052-3031730,30/12/2015,65,40,0.62,yes,no,27/05/2016,06:00,4,15,
71,סונול תלתן חיפה,"שדרות ההסתדרות 211, חיפה",054-3222262,11/10/2015,65,50,0.77,yes,no,27/05/2016,06:00,4,15,
72,דלק ק. אתא,"דקך חיפה 43, קרית אתא",052-7444549,23/02/2016,160,120,0.75,yes,no,27/05/2016,06:00,4,15,
73,פרפר לילה ק. אתא,"זבולון 164, קרית אתא",052-7202119,16/03/2016,240,100,0.42,yes,no,27/05/2016,07:00,4,15,
74,פיצוציית שביט ק. אתא,"פרופ' איינשטיין 20, קרית אתא",052-7777100,09/03/2016,90,45,0.5,yes,no,27/05/2016,07:00,4,15,
75,סונול כפר חסידים,"דרך כפר חסידים 1, קרית אתא",08-8584054,24/02/2016,240,100,0.42,yes,no,27/05/2016,06:00,4,15,
76,סטופ מרקט קריות,"שדרות ההתסדרות 271, חיפה",052-2917901,16/03/2016,160,80,0.5,yes,no,27/05/2016,07:00,4,15,
77,טן חלוצי התעשיה,"חלוצי התעשייה 92, חיפה",08-6347281,30/08/2015,160,70,0.44,yes,no,27/05/2016,06:00,4,15,
78,גרעיני עפולה ק. חיים,"דגניה 48, קרית חיים",02-5791875,23/03/2016,465,250,0.54,yes,no,27/05/2016,06:00,4,15,
79,עידן הקפה ק. חיים ורבורג,"שדרות ורבורג 23, חיפה",050-5219535,10/03/2016,160,90,0.56,yes,no,27/05/2016,06:00,4,15,
80,דלק ק. חיים,"שדרות דגניה 5, קריית חיים",02-5330333,01/02/2016,240,180,0.75,yes,no,27/05/2016,06:00,4,15,
81,סונול משה דיין חיפה (2015),"משה דיין 22, חיפה",052-2679500,25/11/2015,65,50,0.77,yes,no,27/05/2016,06:00,4,15,
82,רמי לוי קריות,"חלוצי התעשייה 73, קריית חיים",052-5193339,27/01/2016,128,120,0.94,yes,no,27/05/2016,06:00,4,15,
83,טיב טעם קריות,"חלוצי התעשייה 116, חיפה",050-5900117,09/03/2016,160,140,0.88,yes,no,27/05/2016,06:00,4,15,
84,סונול ק. חיים,"דגניה 5, חיפה",050-9229940,02/03/2016,90,45,0.5,yes,no,27/05/2016,06:00,4,15,
85,מרכולית על קו החוף,"לחי 2, קריית ים",054-9733861,16/03/2016,160,80,0.5,yes,no,27/05/2016,07:00,4,15,
86,עידן הקפה ק. ים,"יוספטל גיורא 26, קריית ים",02-6564456,16/03/2016,65,40,0.62,yes,no,27/05/2016,06:00,4,15,
87,סמיילי מרקט ק. מוצקין,"ז'בוטיסקי זאב 1, קריית מוצקין",050-7744751,16/03/2016,160,70,0.44,yes,no,27/05/2016,08:30,4,15,
88,מרכולית על הדרך,"שדרות וימצן 10, קריית מוצקין",02-6568848,16/03/2016,240,120,0.5,yes,no,27/05/2016,06:00,4,15,
89,חלום מתוק ק. ים,"השופטים 7, קרית ים", 054-5408066,03/02/2016,65,50,0.77,yes,no,27/05/2016,08:00,4,15,
90,פז אפק החדשה (מומי),"כביש 79, אפק",02-5702914,03/02/2016,200,150,0.75,yes,no,27/05/2016,06:00,4,15,
91,ויקטורי ק. מוצקין,"שדרות ירושלים 1, קרית מוצקין",02-5734278,16/03/2016,160,140,0.88,yes,no,27/05/2016,06:00,4,15,
92,בנא משקאות הקריון,"הדקל 47, קרית ביאליק",02-5734394,23/03/2016,160,70,0.44,yes,no,27/05/2016,09:00,4,15,
93,טן ק. ביאליק,"טן, כביש עכו, קרית ביאליק",054-7726204,02/09/2015,65,60,0.92,yes,no,27/05/2016,06:00,4,15,
94,דלק מבוא ביתר,דלק מבוא ביתר,02-5836146,24/02/2016,400,300,0.75,yes,no,27/05/2016,06:00,4,15,
95,סונול יער ביתר,"סונול, יער ביתר",052-7460008,29/02/2016,240,150,0.63,yes,no,27/05/2016,06:00,4,15,
96,לימונית זכריה,"זכריה 86, זכריה",055-6602518,23/03/2016,160,200,1.25,yes,yes,27/05/2016,07:00,4,15,[+מקפיא 40][-מקפיא 30]
97,מינימרקט הרובע בית שמש (2016),"חטיבת הראל 3, בית שמש",08-6487576,23/03/2016,160,120,0.75,yes,no,27/05/2016,06:00,4,15,
98,הסוכה המתוקה בית שמש,"העליה 1, בית שמש",08-6419628,23/03/2016,160,100,0.63,yes,no,27/05/2016,09:00,4,15,
99,קיוסק החברים בית שמש,"כיכר נימן 1, בית שמש",054-6733783,23/03/2016,65,65,1,yes,no,27/05/2016,07:00,4,15,
100,אימפריית השמש,"החרש 25, בית שמש",054-6733524 ,09/03/2016,465,300,0.65,yes,no,27/05/2016,06:00,4,15,
101,פז בית שמש (שירלי),"כביש שער הגיא, בית שמש",08-9107310,03/02/2016,240,120,0.5,yes,no,27/05/2016,06:00,4,15,
102,מרקטו בית שמש,"הרקפת 16, בית שמש",08-6272685,09/03/2016,160,100,0.63,yes,no,27/05/2016,09:30,4,15,
103,פיצוחיית אור בית שמש,"חטיבת הראל 7 כניסה א, בית שמש",08-6497676,16/03/2016,240,120,0.5,yes,no,27/05/2016,07:00,4,15,
104,קאיה בית שמש,"מרכז מסחרי 47, בית שמש",08-6102533,23/03/2016,400,200,0.5,yes,no,27/05/2016,10:00,4,15,
105,בסט מרקט בית שמש,"נחל דולב 19, בית שמש",054-6733674,16/03/2016,90,50,0.56,yes,no,27/05/2016,08:00,4,15,
106,יינות ביתן בית שמש,"יגאל אלון 1, בית שמש",050-7301807,03/02/2016,65,60,0.92,yes,no,27/05/2016,08:00,4,15,
107,שופרסל דיל בית שמש,"העליה 1, בית שמש",052-6581118,24/02/2016,90,70,0.78,yes,no,27/05/2016,08:00,4,15,
108,הבית של פיסטוק קניון בית שמש,"דרך יצחק רבין 2, בית שמש",052-3031730,23/03/2016,160,100,0.63,yes,no,27/05/2016,10:00,4,15,
109,פיצוציית חיים בית שמש,"דרך יצחק רבין 7, בית שמש",054-3222262,23/03/2016,90,45,0.5,yes,no,27/05/2016,07:00,4,15,
110,קפה קובו בית שמש,הרצל 4ף בית שמש,052-7444549,16/03/2016,65,35,0.54,yes,no,27/05/2016,07:00,4,15,
111,גת קדן מרכז מסחרי בית שמש,"מרכז מסחרי 60, בית שמש",052-7202119,23/03/2016,160,140,0.88,yes,no,27/05/2016,08:00,4,15,[החלפת מנורה]
112,פז בית שמש הצומת (לירן),"יגאל אלון 28, בית שמש",052-7777100,23/03/2016,218,120,0.55,yes,no,27/05/2016,06:00,4,15,
113,פיצוציית הגבעה בית שמש,"שדרות הדקל 13, בית שמש",08-8584054,16/03/2016,240,220,0.92,yes,no,27/05/2016,10:00,4,15,
114,בכיפשלנו בית שמש,"הנורית 2, בית שמש",052-2917901,17/02/2016,65,60,0.92,yes,no,27/05/2016,06:00,4,15,
115,הפרגולה בית שמש,"רבי יהודה צדקה 3, בית שמש",08-6347281,24/03/2016,90,45,0.5,yes,no,27/05/2016,08:00,4,15,
116,דור אלון בני דרום,"כביש 42, צומת בני דרום",02-5791875,16/03/2016,65,40,0.62,yes,no,27/05/2016,06:00,4,15,
117,דלק יבנה,"דרך הים 34, יבנה",050-5219535,16/03/2016,400,250,0.63,yes,no,27/05/2016,06:00,4,15,
118,אלון מתנח יבנה (ביילסול),"כביש מס 4, מחלף יבנה",02-5330333,09/03/2016,250,200,0.8,yes,no,27/05/2016,06:00,4,15,
119,פז רשף יבנה (שמעון),"שדרות הסנהדרין, יבנה",052-2679500,16/03/2016,465,260,0.56,yes,no,27/05/2016,06:00,4,15,
120,בית המשקאות של אביב יבנה,"האומן 17, יבנה",052-5193339,23/03/2016,65,60,0.92,yes,no,27/05/2016,09:00,4,15,
121,בייבי מזוז יבנה,"שבזי 7, יבנה",050-5900117,28/10/2015,40,40,1,yes,no,27/05/2016,08:00,4,15,
122,מזוז יבנה,"האומ 1, יבנה",050-9229940,25/01/2016,90,70,0.78,yes,no,27/05/2016,06:00,4,15,
123,אלון שער יבנה (ביילסול),"דרך יבנה, שער יבנה",054-9733861,02/03/2016,240,160,0.67,yes,no,27/05/2016,06:00,4,15,
124,שדרת היין יבנה,"שדרות סנהדרין 34, יבנה",02-6564456,16/03/2016,100,60,0.6,yes,no,27/05/2016,10:00,4,15,
125,סופר אלונית אשדוד,"האורגים 26 , אשדוד",050-7744751,23/03/2016,490,240,0.49,yes,no,27/05/2016,06:00,4,15,
126,לב המפגש אשדוד,"דוד המלך 20, אשדוד",02-6568848,16/03/2016,65,40,0.62,yes,no,27/05/2016,07:00,4,15,
127,מינימרקט השלום אשדוד,"דוד וולפסון 1, אשדוד", 054-5408066,13/01/2016,65,45,0.69,yes,no,27/05/2016,06:00,4,15,
128,קיוסק בומרנג,"תל חי 19, אשדוד",02-5702914,23/03/2016,160,80,0.5,yes,no,27/05/2016,09:00,4,15,
129,מחסני להב אשדוד,"שוהם 2, אשדוד",02-5734278,10/02/2016,90,70,0.78,yes,no,27/05/2016,07:00,4,15,
130,פנינת שער לים אשדוד,"שוהם 2, אשדוד",02-5734394,02/03/2016,65,35,0.54,yes,no,27/05/2016,10:00,4,15,
131,פיצוציית טווינס אשדוד,"מרכז מסחרי ד 115, אשדוד",054-7726204,16/03/2016,65,30,0.46,yes,no,27/05/2016,09:00,4,15,
132,קיוסק רחמים אשדוד,"משה אבן עזרא 23, אשדוד",02-5836146,23/03/2016,65,35,0.54,yes,no,27/05/2016,08:00,4,15,
133,סופר מזל אשדוד,"זלמן ארן 13, אשדוד",052-7460008,17/02/2016,65,40,0.62,yes,no,27/05/2016,10:00,4,15,
134,על הדרך אשדוד,"קיבוץ גוליות 1, אשדוד",055-6602518,09/03/2016,65,50,0.77,yes,no,27/05/2016,09:30,4,15,
135,סדש נמל אשדוד,דרך הנמל באשדוד,08-6487576,24/02/2016,65,50,0.77,yes,no,27/05/2016,06:00,4,15,
136,פז ניר גלים (אלי),"צומת ניר גלים, אשדוד",08-6419628,09/03/2016,160,50,0.31,yes,no,27/05/2016,06:00,4,15,
137,סופר אלונית משען,"כביש 35, משען",054-6733783,09/03/2016,400,100,0.25,yes,no,27/05/2016,06:00,4,15,
138,סבן אמונים תדלוק,כביש 3711 אמונים,054-6733524 ,10/03/2016,90,90,1,yes,yes,27/05/2016,06:00,4,15,[+מקפיא 400][-]
139,פז אשקלון גלים (שמעון),"צה""ל 8, אשקלון",08-9107310,16/03/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
140,דלק מבקיעים,המשתלה מבקיעים,08-6272685,02/03/2016,240,150,0.63,yes,no,27/05/2016,06:00,4,15,
141,גל חוף אשקלון,"החיטה 166, אשקלון",08-6497676,02/03/2016,128,60,0.47,yes,no,27/05/2016,06:00,4,15,
142,אלון קבוצת יבנה,כביש 41 קבוצת יבנה,08-6102533,09/02/2016,160,160,1,yes,no,27/05/2016,06:00,4,15,
143,סדש ביצרון,אזור תעשייה כנות,054-6733674,09/03/2016,65,35,0.54,yes,no,27/05/2016,06:00,4,15,
144,מיסטר זול גדרה,"שדרות מנחם בגין 40, גדרה",050-7301807,14/10/2015,40,30,0.75,yes,no,27/05/2016,08:00,4,15,
145,סונול חמי יואב,"שדה יואב 1001, שדה יואב",052-6581118,10/02/2016,160,80,0.5,yes,no,27/05/2016,06:00,4,15,
146,סונול נהורה,"עזרא ציון, 1010 נהורה",052-3031730,09/03/2016,240,150,0.63,yes,no,27/05/2016,06:00,4,15,
147,סונול ק. גת,"דרך הדרום 2, קריית גת",054-3222262,16/03/2016,160,160,1,yes,no,27/05/2016,06:00,4,15,
148,מינימרקט עדן ק. גת,"הגבורה 28, קרית גת",052-7444549,24/02/2016,160,40,0.25,yes,no,27/05/2016,08:30,4,15,
149,שר המשקים ק. גת,"שד' מלכי ישראל 178, קריית גת",052-7202119,24/03/2016,200,80,0.4,yes,no,27/05/2016,10:00,4,15,
150,בר פיצוציית האושר ק.גת,"שד' העצמאות 49, קריית גת",052-7777100,16/03/2016,240,200,0.83,yes,no,27/05/2016,09:00,4,15,
151,דלק הקריה,"שדרות צורן 13, קריית גת",08-8584054,16/03/2016,65,45,0.69,yes,no,27/05/2016,06:00,4,15,
152,דלק מנוחה,צומת קומממיות,052-2917901,16/03/2016,160,70,0.44,yes,no,27/05/2016,06:00,4,15,
153,סונול פלוגות,צומת פלוגות 998 קרית גת,08-6347281,02/03/2016,160,80,0.5,yes,no,27/05/2016,06:00,4,15,
154,דור אלון ניר בנים,"ניר בנים, 79525",02-5791875,03/03/2016,160,160,1,yes,yes,27/05/2016,06:00,4,15,[+מקפיא 30][-]
155,דלק נחשון,חשון 7 בית שמש,050-5219535,02/03/2016,465,300,0.65,yes,no,27/05/2016,06:00,4,15,
156,דלק יד בנימין,"אליזבט ברגנר 10 ת""א",02-5330333,24/02/2016,90,45,0.5,yes,no,27/05/2016,07:00,4,15,
157,"שופרסל אקספרס מרמורק ת""א","זריצקי 4, תל אביב יפו",052-2679500,26/10/2015,70,70,1,yes,yes,27/05/2016,06:00,4,15,[+מקפיא 300][-]
158,איי אם פי אם בוגרשוב,"בוגרשוב 49, תל אביב יפו",052-5193339,17/03/2016,128,80,0.63,yes,no,27/05/2016,06:00,4,15,[החלפת מנורה]
159,איי אם פי אם בן יהודה,"בוגרשוב 49, תל אביב יפו",050-5900117,16/03/2016,160,70,0.44,yes,no,27/05/2016,06:00,4,15,
160,"איי אם פי אם ז'בוטינסקי ת""א","אבן גבירול 136, תל אביב יפו",050-9229940,22/03/2016,128,60,0.47,yes,no,27/05/2016,14:00,4,15,
161,"קיוסק קונדל ת""א","אבן גבירול 107, ת""א",054-9733861,16/03/2016,65,35,0.54,yes,no,27/05/2016,09:30,4,15,
162,הראשון בירקון,"ירקון 22, תל אביב יפו",02-6564456,09/03/2016,90,45,0.5,yes,no,27/05/2016,09:00,4,15,
163,מפגש דרור,"הירקון 106, ת""א",050-7744751,17/03/2016,65,35,0.54,yes,no,27/05/2016,06:00,4,15,
164,דרגסטור פרישמן 61,"פרישמן 61, תל אביב יפו",02-6568848,09/03/2016,65,30,0.46,yes,no,27/05/2016,06:00,4,15,
165,"מכולת אלנבי ת""א","אלנבי 115, תל אביב יפו", 054-5408066,01/10/2015,30,30,1,yes,no,27/05/2016,07:00,4,15,
166,"סנדביץ בר מילניום ת""א","יפת 13, ת""א",02-5702914,03/03/2016,160,30,0.19,yes,no,27/05/2016,07:00,4,15,
167,אלון המסגר,"בהמסגר 24, תל אביב",02-5734278,01/03/2016,90,60,0.67,yes,no,27/05/2016,06:00,4,15,
168,"קיוסק בר יהודה הלוי ת""א","יהודה הלוי 95, תל אביב",02-5734394,12/11/2015,40,40,1,yes,no,27/05/2016,07:00,4,15,
169,דור אלון שונצינו,"בשונצינו 5, תל אביב",054-7726204,22/03/2016,240,180,0.75,yes,yes,27/05/2016,06:00,4,15,[+מידי][-]
170,"פינת התושיה ת""א","שונצינו 12, ת""א",02-5836146,03/03/2016,65,35,0.54,yes,no,27/05/2016,07:00,4,15,
171,"ויקטורי ת""א אחד העם","אחד העם 13, תל אביב",052-7460008,22/03/2016,160,60,0.38,yes,no,27/05/2016,06:00,4,15,
172,"אול אין ת""א","הברזל 1, תל אביב יפו",055-6602518,16/03/2016,40,30,0.75,yes,no,27/05/2016,07:00,4,15,
173,קליית חממה המסגר,"היצירה 20, רמת גן",08-6487576,23/03/2016,65,45,0.69,yes,no,27/05/2016,07:00,4,15,
174,"פיצוציית הר ציון ת""א","פללורנטין 46, ת""א",08-6419628,23/03/2016,65,30,0.46,yes,no,27/05/2016,07:00,4,15,
175,"סיטי מרקט הר ציון ת""א","דרות הר ציון 45, תל אביב יפו",054-6733783,16/03/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
176,מפגש החברים סלמה 151,"דרך שלמה 151, תל אביב יפו",054-6733524 ,22/03/2016,160,80,0.5,yes,no,27/05/2016,06:00,4,15,
177,מכולת יצחק,"בעוזיאל 73, רמת גן",08-9107310,16/03/2016,40,30,0.75,yes,no,27/05/2016,10:30,4,15,
178,דרגון,"בלוינסקי 48, תל אביב",08-6272685,16/03/2016,160,50,0.31,yes,no,27/05/2016,06:00,4,15,
179,"הפינה המתוקה שירן ת""א","האומן 17, ת""א",08-6497676,09/03/2016,30,30,1,yes,no,27/05/2016,06:00,4,15,
180,פז קיבוץ גלויות (רועי),"דרך הטייסים, תל אביב יפו",08-6102533,22/03/2016,352,200,0.57,yes,no,27/05/2016,06:00,4,15,
181,סופר מכולת רימון,"שמחה הולצברג 7, תל אביב יפו",054-6733674,17/03/2016,65,50,0.77,yes,no,27/05/2016,10:00,4,15,
182,"אואזיס ת""א","מונטיפיורי 17, תל אביב יפו",050-7301807,23/03/2016,65,35,0.54,yes,no,27/05/2016,06:00,4,15,
183,סונול משגב," בן צבי 84 , תל אביב יפו",052-6581118,10/03/2016,160,80,0.5,yes,no,27/05/2016,06:00,4,15,
184,פופה טבקו אשקלון (עמי),"צה""ל 13, אשקלון",052-3031730,23/03/2016,90,45,0.5,yes,no,27/05/2016,08:30,4,15,
185,"דור אלון צה""ל","בצה""ל 29, אשקלון ",054-3222262,27/01/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
186,דלק קולנוע אסתר,"שיבת ציון 30, אשקלון ",052-7444549,23/03/2016,65,50,0.77,yes,no,27/05/2016,06:00,4,15,
